"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ALKBH5",914.598281394577,0.433328803572118,0.160455746107584,2.70061256193079,0.00692119122288711,0.0435226432621788
"ALOX12B",63.71743036012,1.56596654897063,0.569912790447959,2.74773013558751,0.00600093785551735,0.0394546133622793
"ALPK1",801.138880474698,0.642854808477728,0.151840264785899,4.23375716173954,2.29819104932138e-05,0.000965922506934819
"ALS2CR12",186.591673796668,0.73703291581248,0.247897583412481,2.97313473437988,0.00294775024061434,0.0244664810875455
"ALYREF",604.912567155843,-0.78170900428257,0.192836570669746,-4.0537383628406,5.04055893557551e-05,0.00159876590864069
"AMER1",318.908493208713,-0.696995877973616,0.210906396313446,-3.30476405721594,0.000950563854972888,0.0113823928274959
"AMFR",2859.00748490574,0.461410572683028,0.169994414666377,2.71426901635898,0.00664222029796958,0.0423748291983966
"AMN1",505.220853176287,0.681303313513376,0.188594444277983,3.61253119688486,0.000303222612704009,0.00527534807774249
"AMPH",60.5088135652566,1.1149212993556,0.420041033261243,2.65431520034896,0.00794695554803976,0.0476517221268034
"AMT",640.827319033252,0.698616495074524,0.201905875881236,3.46010977652509,0.000539955213358168,0.00772803761967051
"AMZ2",2056.66440534374,0.582165081541265,0.191228560009454,3.04434171084321,0.00233190107092872,0.0208739735991183
"AMZ2P1",128.854333180898,0.687761746305917,0.256968516329624,2.67644362091306,0.00744080834451931,0.0456158899205705
"ANAPC15",423.0787090043,-0.756095711541215,0.209872982378043,-3.60263480784422,0.000315007940402768,0.00540518662171305
"ANAPC1P1",193.332831442748,1.65603785406984,0.404386898703358,4.09518176622394,4.21837299307139e-05,0.00141905352508448
"ANGPT2",491.301615571797,0.67758753963189,0.189840607461815,3.56924447667595,0.000358012216379013,0.00589069219861759
"ANGPTL1",1973.36798513855,1.92081715106491,0.373634367600175,5.14090061736604,2.73424659668147e-07,6.73530760305431e-05
"ANGPTL3",259.676640423399,1.74034111547696,0.333254597078229,5.22225688928286,1.76755529560209e-07,5.41619280826996e-05
"ANK3",773.313149280742,0.919598566689962,0.33037274840566,2.78351822639076,0.00537728411290611,0.0365498789146932
"ANKAR",705.542790069901,1.06545166687998,0.220787358237554,4.82569144984115,1.39518366658475e-06,0.000168543050957874
"ANKHD1",8826.42009238646,0.317092653785287,0.114897622035228,2.75978430335195,0.00578395358973518,0.0384257803756549
"ANKRA2",363.754632989337,0.473398627413926,0.145024002752566,3.26427776387898,0.00109743519350183,0.0126360232069775
"ANKRD13B",113.315954088346,-0.828236282899673,0.284687824965187,-2.90927890225356,0.00362263523313277,0.027963151303686
"ANKRD17",28488.1293936187,0.567265695958315,0.158472662817626,3.57958076725914,0.000344145872311285,0.00575194543216694
"ANKRD27",1799.7442505159,-0.445752550818392,0.134569169949191,-3.31244185415347,0.000924853489220781,0.0112140851589079
"ANKRD36BP1",3914.88503313458,1.43698992280719,0.260163503993429,5.5234108579791,3.32481014439022e-08,2.4782754445576e-05
"ANKRD53",27.0642616064546,1.14497281677156,0.358611449857597,3.19279492393848,0.00140902975795793,0.0148951894120213
"ANKRD61",150.522407522169,0.633609606775905,0.235087851676369,2.69520352607652,0.00703456482006245,0.0440089914156626
"ANO5",116.478358258407,1.41785342686108,0.493727617551517,2.87173205722715,0.00408228934782696,0.03048851846886
"ANO8",157.228708044276,0.732113489743201,0.250015164184715,2.92827633927958,0.00340846960684398,0.0270193112418715
"ANOS1",212.907516778767,1.00456845678924,0.381245027297032,2.63496802544934,0.008414520927416,0.0495896511347344
"ANP32A",13937.2615328968,-0.912089945163433,0.184850416130299,-4.93420552821754,8.0477661665925e-07,0.000126517258607085
"ANP32AP1",123.535717801714,1.7176804102067,0.391103482976745,4.3918821615527,1.12373602766253e-05,0.000641756634624293
"ANP32B",13411.7327161616,-0.928008524551511,0.200124361647626,-4.63715919896613,3.53230348503352e-06,0.000315089408625631
"ANP32E",3270.55350477283,-0.852904438395341,0.227346834043963,-3.75155625976481,0.000175740306051501,0.00369590010527911
"AP000295.9",268.844486176211,1.25577455594109,0.466460173200426,2.69213670981835,0.007099583655236,0.0442935910718417
"AP000687.1",96.9881699538573,1.20753273948879,0.294120351100153,4.1055735686838,4.03312896520522e-05,0.00138012977822259
"AP002962.1",70.6062732766814,1.30185369504876,0.44568407171237,2.9210236077024,0.00348883389620012,0.0273831800243841
"AP004289.2",26.5264105588972,0.969036446858419,0.276494829214752,3.5047181519108,0.0004570909100991,0.0069186744237879
"AP004290.1",107.956143413326,0.881405000666863,0.244604192204779,3.60339286388421,0.000314090243489005,0.00540316889070251
